ID,X,Y,Z
1,0,0,0
2,21.6,0,0
3,0,35.1,0
4,21.6,35.1,0
5,2.7,1.8,0
6,2.7,6.3,0
7,7.2,1.8,0
8,5.3,4.35,0
9,8.3,4.35,0
10,8.3,13.65,0
11,5.3,13.65,0
12,2.7,10.8,0
13,2.7,15.3,0
14,7.2,15.3,0
15,11.7,1.8,0
16,16.2,1.8,0
17,11.7,6.3,0
18,13.3,4.35,0
19,16.3,4.35,0
20,16.3,13.65,0
21,13.3,13.65,0
22,20.7,1.8,0
23,20.7,6.3,0
24,11.7,10.8,0
25,11.7,15.3,0
26,16.2,15.3,0
27,20.7,10.8,0
28,20.7,15.3,0
29,2.7,19.8,0
30,2.7,24.3,0
31,7.2,19.8,0
32,2.7,28.8,0
33,2.7,33.3,0
34,5.3,21.45,0
35,8.3,21.45,0
36,8.3,30.75,0
37,5.3,30.75,0
38,7.2,33.3,0
39,11.7,19.8,0
40,16.2,19.8,0
41,11.7,24.3,0
42,20.7,19.8,0
43,20.7,24.3,0
44,11.7,28.8,0
45,13.3,21.45,0
46,16.3,21.45,0
47,16.3,30.75,0
48,13.3,30.75,0
49,11.7,33.3,0
50,16.2,33.3,0
51,20.7,28.8,0
52,20.7,33.3,0
61,11.821376,0,0
62,1.393994,0,0
63,2.325241,0,0
64,3.274324,0,0
65,4.23912,0,0
66,5.204461,0,0
67,6.146497,0,0
68,7.085654,0,0
69,8.042411,0,0
70,9.004517,0,0
71,9.949484,0,0
72,10.879783,0,0
73,0.466779,0,0
74,12.775196,0,0
75,13.724936,0,0
76,14.662381,0,0
77,15.569242,0,0
78,16.459303,0,0
79,17.372367,0,0
80,18.310521,0,0
81,19.265105,0,0
82,20.20609,0,0
83,21.133667,0,0
84,0.933559,0,0
85,1.854429,0,0
86,2.796052,0,0
87,3.752596,0,0
88,4.725645,0,0
89,5.683278,0,0
90,6.609715,0,0
91,7.561592,0,0
92,8.523229,0,0
93,9.485806,0,0
94,10.413163,0,0
95,11.346402,0,0
96,12.296349,0,0
97,13.254042,0,0
98,14.195829,0,0
99,15.128934,0,0
100,16.00955,0,0
101,16.909055,0,0
102,17.835678,0,0
103,18.785364,0,0
104,19.744845,0,0
105,20.667334,0,0
106,0,26.091999,0
107,0,17.463403,0
108,0,18.439493,0
109,0,19.403668,0
110,0,20.361588,0
111,0,21.325557,0
112,0,22.293944,0
113,0,23.255378,0
114,0,24.200094,0
115,0,25.144244,0
116,0,16.49706,0
117,0,27.047604,0
118,0,28.020146,0
119,0,28.976755,0
120,0,29.918641,0
121,0,30.859405,0
122,0,31.806314,0
123,0,32.757724,0
124,0,33.694381,0
125,0,8.014678,0
126,0,0.469482,0
127,0,1.402877,0
128,0,2.335957,0
129,0,3.284314,0
130,0,4.246738,0
131,0,5.204232,0
132,0,6.137195,0
133,0,7.071596,0
