iEL,1,2,3,4
39290,8868,2822,11719,20464
39291,20464,11719,2853,8914
39292,2823,8868,20464,11869
39293,11869,20464,8914,2854
39294,8869,2823,11869,20465
39295,20465,11869,2854,8915
39296,2824,8869,20465,12019
39297,12019,20465,8915,2855
39298,8870,2824,12019,20466
39299,2825,8870,20466,12169
39300,12169,20466,8916,2856
39301,20466,12019,2855,8916
39302,8871,2825,12169,20467
39303,20467,12169,2856,8917
39304,2826,8871,20467,12319
39305,12319,20467,8917,2857
39306,8872,2826,12319,20468
39307,20468,12319,2857,8918
39308,8875,8872,20468,20469
39309,20469,20468,8918,8921
39310,8873,8875,20469,20470
39311,20470,20469,8921,8919
39312,8876,8873,20470,20471
39313,20471,20470,8919,8922
39314,8874,8876,20471,20472
39315,20472,20471,8922,8920
39316,2827,8874,20472,12469
39317,12469,20472,8920,2858
39318,8877,2827,12469,20473
39319,2828,8877,20473,12619
39320,12619,20473,8923,2859
39321,20473,12469,2858,8923
39322,8878,2828,12619,20474
39323,20474,12619,2859,8924
39324,2829,8878,20474,12769
39325,12769,20474,8924,2860
39326,8879,2829,12769,20475
39327,20475,12769,2860,8925
39328,2830,8879,20475,12919
39329,12919,20475,8925,2861
39330,8880,2830,12919,20476
39331,20476,12919,2861,8926
39332,2831,8880,20476,13069
39333,13069,20476,8926,2862
39334,8881,2831,13069,20477
39335,20477,13069,2862,8927
39336,2832,8881,20477,13219
39337,13219,20477,8927,2863
39338,8882,2832,13219,20478
39339,2833,8882,20478,13369
39340,13369,20478,8928,2864
39341,20478,13219,2863,8928
39342,8883,2833,13369,20479
39343,20479,13369,2864,8929
39344,2834,8883,20479,13519
39345,13519,20479,8929,2865
39346,8884,2834,13519,20480
39347,20480,13519,2865,8930
39348,2835,8884,20480,13669
39349,13669,20480,8930,2866
39350,8885,2835,13669,20481
39351,20481,13669,2866,8931
39352,8888,8885,20481,20482
39353,20482,20481,8931,8934
39354,8886,8888,20482,20483
39355,20483,20482,8934,8932
39356,8889,8886,20483,20484
39357,20484,20483,8932,8935
39358,8887,8889,20484,20485
39359,20485,20484,8935,8933
39360,2836,8887,20485,13819
39361,13819,20485,8933,2867
39362,8890,2836,13819,20486
39363,20486,13819,2867,8936
39364,2837,8890,20486,13969
39365,13969,20486,8936,2868
39366,8891,2837,13969,20487
39367,20487,13969,2868,8937
39368,2838,8891,20487,14119
39369,14119,20487,8937,2869
39370,8892,2838,14119,20488
39371,20488,14119,2869,8938
39372,8895,8892,20488,20489
39373,20489,20488,8938,8941
39374,8893,8895,20489,20490
39375,20490,20489,8941,8939
39376,8896,8893,20490,20491
39377,20491,20490,8939,8942
39378,8894,8896,20491,20492
